"blacklist";"list";"ipv"
"1.36.244.106";"apache";"ipv4"
"1.63.11.166";"apache";"ipv4"
"101.32.62.196";"apache";"ipv4"
"102.118.102.140";"apache";"ipv4"
"102.118.157.98";"apache";"ipv4"
"102.140.112.37";"apache";"ipv4"
"103.112.147.18";"apache";"ipv4"
"103.112.252.6";"apache";"ipv4"
"103.112.53.81";"apache";"ipv4"
"103.13.90.55";"apache";"ipv4"
"103.156.238.6";"apache";"ipv4"
"103.164.240.169";"apache";"ipv4"
"103.194.243.212";"apache";"ipv4"
"103.200.84.177";"apache";"ipv4"
"103.206.21.89";"apache";"ipv4"
"103.227.71.34";"apache";"ipv4"
"103.249.77.2";"apache";"ipv4"
"103.6.245.45";"apache";"ipv4"
"103.75.184.188";"apache";"ipv4"
"103.83.235.57";"apache";"ipv4"
"103.83.235.61";"apache";"ipv4"
"103.88.141.42";"apache";"ipv4"
"103.96.44.37";"apache";"ipv4"
"103.97.163.90";"apache";"ipv4"
"104.131.167.46";"apache";"ipv4"
"104.131.85.183";"apache";"ipv4"
"104.149.130.198";"apache";"ipv4"
"104.155.85.43";"apache";"ipv4"
"104.197.75.152";"apache";"ipv4"
"104.198.172.68";"apache";"ipv4"
"104.199.41.243";"apache";"ipv4"
"104.207.207.135";"apache";"ipv4"
"104.236.121.187";"apache";"ipv4"
"104.236.42.164";"apache";"ipv4"
"104.236.45.171";"apache";"ipv4"
"104.248.131.234";"apache";"ipv4"
"104.248.138.189";"apache";"ipv4"
"104.248.179.36";"apache";"ipv4"
"104.248.233.244";"apache";"ipv4"
"104.248.49.147";"apache";"ipv4"
"104.45.130.231";"apache";"ipv4"
"105.102.174.57";"apache";"ipv4"
"105.102.176.43";"apache";"ipv4"
"105.98.49.76";"apache";"ipv4"
"106.206.64.56";"apache";"ipv4"
"106.222.240.222";"apache";"ipv4"
"106.255.253.178";"apache";"ipv4"
"107.150.46.53";"apache";"ipv4"
"107.150.46.54";"apache";"ipv4"
"107.150.48.230";"apache";"ipv4"
"107.150.59.245";"apache";"ipv4"
"107.150.63.170";"apache";"ipv4"
"107.170.172.23";"apache";"ipv4"
"107.180.105.101";"apache";"ipv4"
"107.180.88.41";"apache";"ipv4"
"107.180.93.58";"apache";"ipv4"
"107.22.180.183";"apache";"ipv4"
"108.171.246.242";"apache";"ipv4"
"108.62.107.221";"apache";"ipv4"
"109.166.241.170";"apache";"ipv4"
"109.237.138.30";"apache";"ipv4"
"109.24.144.155";"apache";"ipv4"
"109.78.78.210";"apache";"ipv4"
"109.93.24.109";"apache";"ipv4"
"110.174.35.204";"apache";"ipv4"
"110.44.121.7";"apache";"ipv4"
"110.44.124.143";"apache";"ipv4"
"111.119.177.26";"apache";"ipv4"
"111.125.208.63";"apache";"ipv4"
"111.223.141.254";"apache";"ipv4"
"111.231.107.30";"apache";"ipv4"
"111.231.205.251";"apache";"ipv4"
"112.135.8.96";"apache";"ipv4"
"112.169.112.242";"apache";"ipv4"
"112.205.59.49";"apache";"ipv4"
"112.78.3.201";"apache";"ipv4"
"113.161.151.29";"apache";"ipv4"
"113.161.78.14";"apache";"ipv4"
"113.195.167.172";"apache";"ipv4"
"113.99.200.230";"apache";"ipv4"
"114.32.31.1";"apache";"ipv4"
"115.78.9.72";"apache";"ipv4"
"116.203.146.163";"apache";"ipv4"
"116.203.150.71";"apache";"ipv4"
"116.21.136.228";"apache";"ipv4"
"116.255.173.135";"apache";"ipv4"
"116.72.120.107";"apache";"ipv4"
"117.200.84.5";"apache";"ipv4"
"117.222.178.242";"apache";"ipv4"
"117.50.90.31";"apache";"ipv4"
"117.6.240.170";"apache";"ipv4"
"118.193.28.58";"apache";"ipv4"
"118.70.52.135";"apache";"ipv4"
"119.17.221.61";"apache";"ipv4"
"119.96.223.59";"apache";"ipv4"
"121.37.216.33";"apache";"ipv4"
"122.114.76.148";"apache";"ipv4"
"122.161.121.102";"apache";"ipv4"
"122.161.65.209";"apache";"ipv4"
"122.169.161.31";"apache";"ipv4"
"122.178.247.228";"apache";"ipv4"
"123.183.30.86";"apache";"ipv4"
"123.192.64.68";"apache";"ipv4"
"123.207.30.63";"apache";"ipv4"
"124.124.116.120";"apache";"ipv4"
"124.158.10.21";"apache";"ipv4"
"124.158.183.182";"apache";"ipv4"
"124.236.56.184";"apache";"ipv4"
"125.212.221.22";"apache";"ipv4"
"125.25.98.207";"apache";"ipv4"
"125.34.240.29";"apache";"ipv4"
"128.199.158.102";"apache";"ipv4"
"128.199.233.148";"apache";"ipv4"
"128.199.249.213";"apache";"ipv4"
"128.199.47.180";"apache";"ipv4"
"128.199.76.60";"apache";"ipv4"
"128.199.82.37";"apache";"ipv4"
"129.205.106.123";"apache";"ipv4"
"129.45.35.219";"apache";"ipv4"
"13.212.104.251";"apache";"ipv4"
"13.234.16.207";"apache";"ipv4"
"13.235.116.78";"apache";"ipv4"
"13.236.229.208";"apache";"ipv4"
"13.52.218.209";"apache";"ipv4"
"13.67.168.48";"apache";"ipv4"
"131.161.176.81";"apache";"ipv4"
"131.72.236.148";"apache";"ipv4"
"132.148.150.222";"apache";"ipv4"
"132.148.20.66";"apache";"ipv4"
"132.255.75.255";"apache";"ipv4"
"134.122.8.25";"apache";"ipv4"
"134.209.144.86";"apache";"ipv4"
"134.209.196.64";"apache";"ipv4"
"135.180.193.213";"apache";"ipv4"
"135.181.163.109";"apache";"ipv4"
"135.181.92.61";"apache";"ipv4"
"136.144.41.32";"apache";"ipv4"
"136.158.34.105";"apache";"ipv4"
"136.243.32.189";"apache";"ipv4"
